partition,type,records,match,review,pending,no_match,safe_automation_pct,value_coverage_pct,precision,recall,f1,false_auto_match,control_failures,review_burden,runtime
DEV,BASELINE,450,0,0,0,0,0.1511111111111111,0.14203450474744442,1.0,0.1511111111111111,0.2625482625482625,0.0,0,0.8355555555555556,0
DEV,EXPERIMENTAL,450,0,0,0,0,0.7133333333333334,0.7305929577310976,1.0,0.7133333333333334,0.8326848249027238,0.0,0,0.0044444444444444444,0
VALIDATION,BASELINE,450,0,0,0,0,0.14444444444444443,0.15712548512070207,1.0,0.14444444444444443,0.2524271844660194,0.0,0,0.8444444444444444,0
VALIDATION,EXPERIMENTAL,450,0,0,0,0,0.7777777777777778,0.7419899657889393,1.0,0.7777777777777778,0.8750000000000001,0.0,0,0.0,0
TEST_ADVERSARIAL,BASELINE,450,0,0,0,0,0.1511111111111111,0.15013736771139397,1.0,0.1511111111111111,0.2625482625482625,0.0,0,0.8355555555555556,0
TEST_ADVERSARIAL,EXPERIMENTAL,450,0,0,0,0,0.74,0.7346406624633439,1.0,0.74,0.8505747126436781,0.0,0,0.0044444444444444444,0
FROZEN_UNSEEN,BASELINE,450,0,0,0,0,0.12666666666666668,0.13118721482880197,1.0,0.12666666666666668,0.22485207100591717,0.0,0,0.8555555555555555,0
FROZEN_UNSEEN,EXPERIMENTAL,450,0,0,0,0,0.7822222222222223,0.7678465694558533,1.0,0.7822222222222223,0.8778054862842892,0.0,0,0.006666666666666667,0
