partition,records,MATCH,REVIEW,PENDING,NO_MATCH,safe_automation_pct,value_coverage_pct,precision,recall,F1,false_auto_match_pct,control_failures
DEV,450,343,101,6,0,0.7622222222222222,0.7783165242367975,1.0,0.7622222222222222,0.834196899117098,0.0,101
VALIDATION,450,354,91,5,0,0.7866666666666666,0.7660183423555693,1.0,0.7866666666666666,0.840206185567084,0.0,91
TEST_ADVERSARIAL,450,342,102,6,0,0.76,0.763339109431325,1.0,0.76,0.8636363636363636,0.0,102
FROZEN_UNSEEN,450,358,84,8,0,0.7955555555555556,0.7896856284884436,1.0,0.7955555555555556,0.8861386138613861,0.0,84
